,Unnamed: 0,Unnamed: 0.1,text,Stopword,grup
5,369,369,bts jimin declared himself the worst player after his self sabotage ,"['bts', 'jimin', 'declared', 'worst', 'player', 'self', 'sabotage']",bts
6,370,370,bts ultra practical suga turned their game into an economy lesson ,"['bts', 'ultra', 'practical', 'suga', 'turned', 'game', 'economy', 'lesson']",bts
7,371,371,bts jungkook used charades to say an unmentionable word ,"['bts', 'jungkook', 'used', 'charades', 'say', 'unmentionable', 'word']",bts
10,374,374,when bts jhope says do this even suga can say no ,"['bts', 'jhope', 'says', 'even', 'suga', 'say']",bts
12,376,376,bts jhope explained that no he isn flying low it just fashion ,"['bts', 'jhope', 'explained', 'flying', 'low', 'fashion']",bts
21,385,385,bts jin and rm once ditched practice to catch pokemon ,"['bts', 'jin', 'rm', 'ditched', 'practice', 'catch', 'pokemon']",bts
22,386,386,the mystery of bts sunflowers has finally been solved ,"['mystery', 'bts', 'sunflowers', 'finally', 'solved']",bts
24,388,388,bts jin is reeling lee hyun back into his fishing squad ,"['bts', 'jin', 'reeling', 'lee', 'hyun', 'back', 'fishing', 'squad']",bts
32,396,396,bts reveals why they named their upcoming album and all the lessons learnt since debut ,"['bts', 'reveals', 'named', 'upcoming', 'album', 'lessons', 'learnt', 'since', 'debut']",bts
34,398,398, foreign celebrities who were spotted with bt merch ,"['foreign', 'celebrities', 'spotted', 'bt', 'merch']",bts
38,402,402,bts jin believes shoes are mankind greatest invention ,"['bts', 'jin', 'believes', 'shoes', 'mankind', 'greatest', 'invention']",bts
45,409,409,here song covers done by bts jungkook ,"['song', 'covers', 'done', 'bts', 'jungkook']",bts
47,411,411,new idol group dkb reveals their goal is to be like bts ,"['new', 'idol', 'group', 'dkb', 'reveals', 'goal', 'like', 'bts']",bts
49,413,413,here are messages from bts rm that will warm your heart ,"['messages', 'bts', 'rm', 'warm', 'heart']",bts
51,415,415,bts rm and exo suho talk about the responsibilities and difficulties of being the leader ,"['bts', 'rm', 'exo', 'suho', 'talk', 'responsibilities', 'difficulties', 'leader']",bts
54,418,418, photos that prove btss jhope is boyfriend material ,"['photos', 'prove', 'btss', 'jhope', 'boyfriend', 'material']",bts
57,421,421, times bts rm was the clumsiest idol on stage ,"['times', 'bts', 'rm', 'clumsiest', 'idol', 'stage']",bts
58,422,422, bts songs that feature big hit female producer adora ,"['bts', 'songs', 'feature', 'big', 'hit', 'female', 'producer', 'adora']",bts
60,424,424,rm once revealed the contents of his wallet and was informed what it says about his brain ,"['rm', 'revealed', 'contents', 'wallet', 'informed', 'says', 'brain']",bts
65,429,429,here photos of bts being sleeping beauties ,"['photos', 'bts', 'sleeping', 'beauties']",bts
